Real count,Simulated count,Color,Epochs,Precision,Recall,AP 0.5,AP 0.5:0.95
0,8000,G,100,0.807,0.365,0.539,0.239
0,16000,G,100,0.881,0.435,0.617,0.263
10,0,G,100,0.760,0.584,0.654,0.277
10,8000,G,100,0.914,0.656,0.762,0.367
10,16000,G,100,0.907,0.734,0.836,0.425
50,0,G,100,0.818,0.746,0.812,0.456
50,8000,G,100,0.922,0.809,0.872,0.510
50,16000,G,100,0.902,0.889,0.923,0.563
100,0,G,100,0.889,0.836,0.903,0.546
100,8000,G,100,0.918,0.887,0.915,0.587
100,16000,G,100,0.920,0.938,0.957,0.628
200,0,G,100,0.916,0.887,0.948,0.640
200,8000,G,100,0.941,0.918,0.950,0.648
200,16000,G,100,0.947,0.937,0.967,0.675
400,0,G,100,0.959,0.937,0.966,0.682
400,8000,G,100,0.953,0.968,0.975,0.711
400,16000,G,100,0.958,0.964,0.976,0.720
800,0,G,100,0.945,0.942,0.963,0.725
800,8000,G,100,0.959,0.970,0.978,0.753
800,16000,G,100,0.949,0.975,0.982,0.757
1200,0,G,100,0.932,0.954,0.973,0.748
1200,8000,G,100,0.953,0.973,0.977,0.774
1200,16000,G,100,0.964,0.969,0.983,0.772
1600,0,G,100,0.953,0.960,0.979,0.769
1600,8000,G,100,0.963,0.970,0.980,0.793
1600,16000,G,100,0.959,0.981,0.980,0.795
0,8000,C,100,0.502,0.442,0.403,0.142
0,16000,C,100,0.375,0.268,0.331,0.148
10,0,C,100,0.653,0.556,0.580,0.240
10,8000,C,100,0.755,0.696,0.738,0.300
10,16000,C,100,0.840,0.727,0.806,0.363
50,0,C,100,0.799,0.751,0.788,0.447
50,8000,C,100,0.940,0.793,0.885,0.515
50,16000,C,100,0.894,0.870,0.916,0.559
100,0,C,100,0.863,0.811,0.890,0.540
100,8000,C,100,0.946,0.839,0.920,0.596
100,16000,C,100,0.960,0.903,0.951,0.623
200,0,C,100,0.915,0.898,0.940,0.625
200,8000,C,100,0.940,0.917,0.948,0.654
200,16000,C,100,0.935,0.937,0.967,0.669
400,0,C,100,0.955,0.930,0.968,0.675
400,8000,C,100,0.948,0.953,0.972,0.707
400,16000,C,100,0.961,0.950,0.976,0.726
800,0,C,100,0.941,0.956,0.962,0.728
800,8000,C,100,0.965,0.977,0.984,0.761
800,16000,C,100,0.941,0.979,0.979,0.757
1200,0,C,100,0.939,0.968,0.973,0.746
1200,8000,C,100,0.960,0.977,0.981,0.769
1200,16000,C,100,0.955,0.970,0.980,0.781
1600,0,C,100,0.949,0.966,0.975,0.772
1600,8000,C,100,0.961,0.976,0.981,0.797
1600,16000,C,100,0.967,0.964,0.985,0.799
