Real count,Simulated count,Color,Epochs,Precision,Recall,AP 0.5,AP 0.5:0.95
0,8000,G,100,0.679,0.570,0.618,0.367
0,16000,G,100,0.772,0.661,0.727,0.451
10,0,G,100,0.154,0.202,0.086,0.035
10,8000,G,100,0.709,0.549,0.622,0.375
10,16000,G,100,0.678,0.670,0.711,0.448
50,0,G,100,0.554,0.434,0.408,0.244
50,8000,G,100,0.746,0.657,0.702,0.435
50,16000,G,100,0.761,0.739,0.788,0.500
100,0,G,100,0.813,0.630,0.697,0.442
100,8000,G,100,0.750,0.680,0.750,0.501
100,16000,G,100,0.813,0.746,0.820,0.527
200,0,G,100,0.797,0.704,0.777,0.534
200,8000,G,100,0.850,0.704,0.818,0.592
200,16000,G,100,0.816,0.776,0.835,0.573
400,0,G,100,0.841,0.801,0.821,0.600
400,8000,G,100,0.847,0.845,0.886,0.670
400,16000,G,100,0.826,0.875,0.890,0.654
800,0,G,100,0.903,0.842,0.893,0.688
800,8000,G,100,0.861,0.896,0.913,0.725
800,16000,G,100,0.896,0.899,0.942,0.762
1200,0,G,100,0.901,0.906,0.934,0.757
1200,8000,G,100,0.904,0.919,0.933,0.765
1200,16000,G,100,0.877,0.938,0.948,0.796
1600,0,G,100,0.931,0.915,0.945,0.778
1600,8000,G,100,0.914,0.928,0.944,0.791
1600,16000,G,100,0.917,0.916,0.950,0.792
0,8000,C,100,0.497,0.232,0.272,0.141
0,16000,C,100,0.577,0.337,0.382,0.203
10,0,C,100,0.174,0.152,0.077,0.031
10,8000,C,100,0.581,0.347,0.374,0.202
10,16000,C,100,0.670,0.407,0.471,0.252
50,0,C,100,0.553,0.401,0.418,0.245
50,8000,C,100,0.703,0.558,0.627,0.389
50,16000,C,100,0.845,0.630,0.722,0.451
100,0,C,100,0.731,0.582,0.650,0.422
100,8000,C,100,0.867,0.616,0.708,0.478
100,16000,C,100,0.839,0.700,0.773,0.519
200,0,C,100,0.828,0.698,0.765,0.534
200,8000,C,100,0.856,0.751,0.831,0.617
200,16000,C,100,0.816,0.779,0.822,0.596
400,0,C,100,0.817,0.778,0.828,0.589
400,8000,C,100,0.872,0.852,0.880,0.665
400,16000,C,100,0.851,0.865,0.896,0.684
800,0,C,100,0.905,0.834,0.901,0.693
800,8000,C,100,0.861,0.873,0.921,0.727
800,16000,C,100,0.906,0.902,0.948,0.757
1200,0,C,100,0.930,0.886,0.936,0.756
1200,8000,C,100,0.927,0.893,0.939,0.779
1200,16000,C,100,0.884,0.953,0.952,0.790
1600,0,C,100,0.948,0.927,0.945,0.783
1600,8000,C,100,0.918,0.926,0.957,0.803
1600,16000,C,100,0.902,0.958,0.953,0.801
