Real count,Simulated count,Color,Epochs,Precision,Recall,AP 0.5,AP 0.5:0.95
0,8000,G,100,0.672,0.384,0.446,0.238
0,16000,G,100,0.753,0.407,0.513,0.299
10,8000,G,100,0.780,0.512,0.582,0.349
10,16000,G,100,0.876,0.411,0.567,0.337
100,8000,G,100,0.873,0.693,0.815,0.572
100,16000,G,100,0.896,0.754,0.858,0.601
0,8000,C,100,0.344,0.189,0.151,0.070
0,16000,C,100,0.260,0.195,0.114,0.051
10,8000,C,100,0.668,0.264,0.340,0.184
10,16000,C,100,0.299,0.286,0.306,0.159
100,8000,C,100,0.881,0.646,0.765,0.520
100,16000,C,100,0.886,0.710,0.818,0.560
