Real count,Simulated count,Color,Epochs,YOLO model,Precision,Recall,AP 0.5,AP 0.5:0.95
100,0,G,100,N,0.429,0.447,0.377,0.194
100,0,G,100,S,0.619,0.488,0.532,0.307
100,0,G,100,M,0.713,0.539,0.617,0.380
100,0,G,100,L,0.731,0.586,0.640,0.421
100,0,G,100,X,0.813,0.630,0.697,0.442
100,8000,G,100,N,0.651,0.485,0.557,0.318
100,8000,G,100,S,0.658,0.582,0.640,0.393
100,8000,G,100,M,0.734,0.680,0.725,0.471
100,8000,G,100,L,0.801,0.663,0.760,0.500
100,8000,G,100,X,0.750,0.680,0.750,0.501
100,16000,G,100,N,0.731,0.512,0.626,0.363
100,16000,G,100,S,0.700,0.690,0.726,0.446
100,16000,G,100,M,0.726,0.734,0.775,0.491
100,16000,G,100,L,0.835,0.717,0.801,0.522
100,16000,G,100,X,0.813,0.746,0.820,0.527
100,0,C,100,N,0.445,0.424,0.371,0.196
100,0,C,100,S,0.569,0.438,0.469,0.271
100,0,C,100,M,0.641,0.569,0.586,0.366
100,0,C,100,L,0.700,0.597,0.646,0.420
100,0,C,100,X,0.731,0.582,0.650,0.422
100,8000,C,100,N,0.481,0.404,0.376,0.196
100,8000,C,100,S,0.630,0.471,0.507,0.300
100,8000,C,100,M,0.791,0.556,0.652,0.423
100,8000,C,100,L,0.777,0.623,0.672,0.460
100,8000,C,100,X,0.867,0.616,0.708,0.478
100,16000,C,100,N,0.585,0.436,0.466,0.244
100,16000,C,100,S,0.741,0.510,0.590,0.352
100,16000,C,100,M,0.726,0.652,0.687,0.438
100,16000,C,100,L,0.779,0.700,0.753,0.498
100,16000,C,100,X,0.839,0.700,0.773,0.519
